address,chain,name,symbol,totalSupply,circulatingSupply,image,"Oct 10, 24","Oct 11, 24","Oct 12, 24","Oct 13, 24","Oct 14, 24","Oct 15, 24","Oct 16, 24","Oct 17, 24","Oct 18, 24","Oct 19, 24","Oct 20, 24","Oct 21, 24","Oct 22, 24","Oct 23, 24","Oct 24, 24","Oct 25, 24","Oct 26, 24","Oct 27, 24","Oct 28, 24","Oct 29, 24","Oct 30, 24","Oct 31, 24","Nov 01, 24","Nov 02, 24","Nov 03, 24","Nov 04, 24","Nov 05, 24","Nov 06, 24","Nov 07, 24","Nov 08, 24","Nov 09, 24","Nov 10, 24","Nov 11, 24","Nov 12, 24","Nov 13, 24","Nov 14, 24","Nov 15, 24","Nov 16, 24","Nov 17, 24","Nov 18, 24","Nov 19, 24","Nov 20, 24","Nov 21, 24","Nov 22, 24","Nov 23, 24","Nov 24, 24","Nov 25, 24","Nov 26, 24","Nov 27, 24","Nov 28, 24","Nov 29, 24","Nov 30, 24","Dec 01, 24","Dec 02, 24","Dec 03, 24","Dec 04, 24","Dec 05, 24","Dec 06, 24","Dec 07, 24","Dec 08, 24","Dec 09, 24","Dec 10, 24","Dec 11, 24","Dec 12, 24","Dec 13, 24","Dec 14, 24","Dec 15, 24","Dec 16, 24","Dec 17, 24","Dec 18, 24","Dec 19, 24","Dec 20, 24","Dec 21, 24","Dec 22, 24","Dec 23, 24","Dec 24, 24","Dec 25, 24","Dec 26, 24","Dec 27, 24","Dec 28, 24","Dec 29, 24","Dec 30, 24","Dec 31, 24","Jan 01, 25","Jan 02, 25","Jan 03, 25","Jan 04, 25","Jan 05, 25","Jan 06, 25","Jan 07, 25"
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,solana,ai16z,ai16z,1099999317.614268517,1099999317.614268,https://token-media.defined.fi/1399811149_HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC_1735795025_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,16.8,55.8,26.9,18.0,26.7,26.6,25.2,16.6,23.1,27.7,23.0,28.5,39.3,29.6,26.8,28.2,62.4,91.0,140.3,212.0,322.4,396.4,351.0,518.7,320.3,186.5,266.3,235.3,261.7,178.7,172.7,243.9,222.6,255.2,339.0,289.1,382.1,365.6,400.7,388.3,488.8,620.3,624.2,596.9,538.7,624.3,842.0,890.0,897.4,850.8,918.8,801.6,743.1,757.6,724.4,804.2,752.9,680.6,742.1,868.9,944.9,885.7,1026.6,1429.8,1325.9,1878.6,1751.6,2413.2,2607.6,2297.3,2234.1,1996.6,2407.5,2063.3,2042.3
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,solana,Goatseus Maximus,GOAT,999996375.943049,999996376.400007,https://token-media.defined.fi/1399811149_CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump_1735791387_large.png,11.6,14.7,62.3,156.6,203.8,316.4,297.5,415.8,400.1,259.6,449.4,459.6,641.2,662.0,704.0,715.9,595.0,609.9,661.4,574.4,531.1,537.9,441.7,528.1,480.0,603.9,794.2,857.8,747.2,765.5,943.0,832.2,902.2,824.6,864.8,1213.9,1212.9,1206.0,1042.7,1100.5,902.7,995.9,893.2,803.4,839.6,738.1,824.3,897.7,811.4,885.7,822.8,757.0,723.2,742.5,743.1,817.7,756.2,776.1,734.4,605.2,553.3,677.6,719.6,873.1,810.2,778.8,677.3,639.0,575.4,479.4,480.2,480.9,489.9,545.6,521.9,480.6,446.0,436.2,454.5,404.8,459.9,500.6,576.4,592.7,573.7,580.4,537.4,510.2,439.7,440.3
0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,base,Virtual Protocol,VIRTUAL,486833278.74030801408940511,486833278.74030801408940511,https://token-media.defined.fi/8453_0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b_1735204562_large.png,28.7,28.2,29.9,33.0,39.0,51.8,43.5,50.5,59.1,68.6,73.6,70.9,99.0,124.1,190.8,201.5,247.7,197.1,190.8,174.6,164.6,210.7,197.7,182.4,167.5,182.7,188.6,192.6,182.5,166.0,168.3,188.2,193.7,171.6,189.5,271.1,259.9,243.5,223.0,262.5,264.6,272.1,257.5,283.9,270.0,269.1,340.6,437.0,522.3,671.1,862.7,710.1,635.3,805.3,820.8,846.2,880.3,810.3,832.8,751.0,765.0,936.1,1050.7,1197.5,1194.7,1320.0,1450.4,1254.6,1230.2,1104.3,1376.0,1214.8,1128.2,1475.7,1477.1,1542.0,1472.1,1731.9,1667.1,1750.2,1703.9,1901.8,2261.4,2213.3,2080.5,2151.1,1950.4,1880.0,1800.7,1786.7
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,solana,AI Rig Complex,arc,999996710.640322,999996710.640322,https://token-media.defined.fi/1399811149_61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump_1735841776_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,28.6,34.6,76.0,137.7,146.2,112.9,147.1,175.6,231.6,188.9,132.5,112.8,153.6,150.6,194.7,204.3,192.2,286.9,267.6,345.8,373.6,386.7,339.9,377.9,416.7,365.7,435.8,374.2,369.2
8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,solana,zerebro,ZEREBRO,999972026.378258,999972050.588877,https://token-media.defined.fi/1399811149_8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn_1735787722_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,1.0,8.6,12.1,7.7,20.3,20.2,24.4,24.1,52.9,62.1,115.3,92.8,78.1,96.9,73.0,118.0,135.4,297.2,250.2,220.4,335.5,372.8,517.5,550.8,403.6,463.8,380.3,418.8,341.6,433.9,453.2,346.4,331.2,291.6,363.3,302.4,333.5,434.6,427.2,404.4,339.9,382.3,393.6,405.9,397.0,400.6,407.5,390.1,354.0,297.2,370.6,421.1,309.8,291.9,300.4,330.3,382.2,323.7,318.2,308.7,410.3,558.9,597.2,575.2,664.3,595.6,541.9,482.0,462.7,410.5,416.7
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,solana,Fartcoin ,Fartcoin ,999995576.262296,999995751.173225,https://token-media.defined.fi/1399811149_9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump_1735816566_large.png,0,0,0,0,0,0,0,3.6,11.7,20.2,36.6,37.1,58.6,49.0,44.1,48.0,29.7,23.3,27.5,23.4,25.4,34.5,24.3,34.0,44.6,59.8,61.8,84.4,77.4,107.0,139.1,136.9,151.1,184.7,190.3,249.5,304.8,342.6,324.3,272.4,298.0,398.7,326.1,310.5,373.9,307.8,343.1,360.3,332.3,350.1,267.9,215.9,194.1,186.0,167.7,204.4,223.7,201.1,308.7,338.8,379.6,536.0,607.0,698.3,651.1,821.3,793.0,819.0,795.7,1095.0,1054.6,797.6,697.8,805.2,1205.1,1186.7,974.6,868.1,983.8,864.4,878.5,936.1,978.2,1336.0,1527.4,1423.0,1301.9,1168.8,1082.7,1093.8
KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,solana,test griffain.com,GRIFFAIN,999872911.149396,999872911.149397,https://token-media.defined.fi/1399811149_KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP_1735820166_large.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.5,4.1,2.9,2.8,2.5,3.1,1.7,2.9,2.6,3.4,6.2,10.0,9.2,5.4,9.1,9.4,12.2,17.2,24.3,13.8,9.2,8.9,5.7,4.5,5.3,6.8,6.4,4.4,4.3,4.3,11.6,15.3,40.1,75.9,73.9,95.0,177.2,211.3,204.0,334.8,294.2,289.4,284.0,321.0,243.0,216.0,300.1,220.2,190.4,218.4,250.6,295.1,226.4,221.9,236.8,210.0,273.5,365.3,448.8,430.1,460.0,433.9,385.9,481.8,437.0,453.2
GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,solana,Act I : The AI Prophecy,ACT,948246394.09918,948246396.572695,https://token-media.defined.fi/1399811149_GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump_1735813003_large.png,0,0,0,0,0,0,0,0,17.0,7.7,18.6,20.9,29.9,20.0,14.0,26.4,23.1,27.2,25.9,36.4,26.0,22.9,14.6,18.0,20.0,18.3,27.4,22.7,21.1,20.6,19.5,423.2,528.6,573.7,715.7,709.0,638.5,630.9,572.2,548.9,467.6,480.4,427.2,434.4,430.5,407.1,398.3,427.4,418.3,643.6,545.2,564.7,516.7,492.4,506.6,598.1,561.8,580.6,574.2,456.8,441.9,519.6,522.2,540.7,543.8,499.7,465.2,439.6,383.4,305.1,327.4,290.9,306.3,320.4,321.2,293.6,271.2,269.0,274.2,248.7,256.9,265.5,278.6,303.4,308.3,306.7,348.0,335.4,332.6,320.3
Gu3LDkn7Vx3bmCzLafYNKcDxv2mH7YN44NJZFXnypump,solana,Degen Spartan AI,degenai,999949986.143465,999949986.143465,https://token-media.defined.fi/1399811149_Gu3LDkn7Vx3bmCzLafYNKcDxv2mH7YN44NJZFXnypump_1735827404_large.png,0,0,0,0,0,0,0,0,0,0,0.4,0.5,1.2,0.5,2.4,4.7,16.3,8.0,6.5,7.5,6.2,6.2,4.4,6.0,6.4,4.9,6.2,5.5,4.9,4.1,5.2,11.0,11.8,19.0,23.2,25.3,28.5,25.8,40.7,18.8,15.4,17.8,17.0,15.6,14.2,12.8,15.9,14.7,17.0,20.5,17.3,20.9,18.0,19.3,17.9,46.0,53.4,46.3,44.7,37.9,48.5,58.4,62.0,64.1,63.6,59.9,59.8,57.7,52.5,52.4,52.0,44.4,39.3,51.0,51.7,54.6,43.4,48.0,67.2,60.1,83.8,80.1,95.2,89.4,77.5,70.1,61.1,70.7,60.6,57.6
79yTpy8uwmAkrdgZdq6ZSBTvxKsgPrNqTLvYQBh1pump,solana,Dolos The Bully,BULLY,960548207.115781,960548207.115781,https://token-media.defined.fi/1399811149_79yTpy8uwmAkrdgZdq6ZSBTvxKsgPrNqTLvYQBh1pump_1735787722_large.png,0,0,0,0,0,0.3,0.0,0.2,0.4,0.5,0.6,0.8,0.5,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,1.5,9.7,9.4,13.0,25.5,23.3,31.5,36.5,28.1,34.9,113.9,187.3,129.8,154.8,121.7,191.3,218.8,231.3,185.9,144.7,129.6,105.8,128.9,103.8,108.1,108.8,104.1,113.4,91.5,82.3,116.3,101.5,93.7,80.8,82.1,76.0,66.7,78.9,75.1,104.3,56.9,48.4,43.1,43.8,53.1,45.5,37.6,37.8,39.4,50.8,76.2,76.6,86.2,94.8,88.7,68.4,71.3,56.7,58.0
